state,city,ICAO Location Identifier,Coordinates
OK,Tulsa,KINX,36.1750977°N 95.5642802°W
OK,Vance AFB,KVNX,36.7406166°N 98.1279409°W
KS,Dodge City,KDDC,37.7608043°N 99.9688053°W
KS,Goodland,KGLD,39.3667737°N 101.7004341°W
KS,Topeka,KTWX,38.996998°N 96.232618°W
KS,Wichita,KICT,37.6545724°N 97.4431461°W
NE,Grand Island/Hastings,KUEX,40.320966°N 98.4418559°W
NE,North Platte,KLNX,41.9579623°N 100.5759609°W
NE,Omaha,KOAX,41.3202803°N 96.3667971°W
SD,Aberdeen,KABR,45.4558185°N 98.4132046°W
SD,Rapid City,KUDX,44.1248485°N 102.8298157°W
SD,Sioux Falls,KFSD,43.5877467°N 96.7293674°W
ND,Bismarck,KBIS,46.7709329°N 100.7605532°W
ND,Grand Forks (Mayville),KMVX,47.5279417°N 97.3256654°W
ND,Minot AFB,KMBX,48.39303°N 100.8644378°W
MT,Billings,KBLX,45.8537632°N 108.6068165°W
MT,Glasgow,KGGW,48.2064536°N 106.6252971°W
MT,Great Falls,KTFX,47.4595023°N 111.3855368°W
MT,Missoula,KMSX,47.0412971°N 113.9864373°W
WY,Cheyenne,KCYS,41.1519308°N 104.8060325°W
WY,Riverton,KRIW,43.0660779°N 108.4773731°W
CO,Denver,KFTG,39.7866156°N 104.5458126°W
CO,Grand Junction,KGJX,39.0619824°N 108.2137012°W
CO,Pueblo,KPUX,38.4595034°N 104.1816223°W
NM,Albuquerque,KABX,35.1497579°N 106.8239576°W
NM,Cannon AFB,KFDX,34.6341569°N 103.6186427°W
NM,Holloman AFB,KHDX,33.0768844°N 106.1200923°W
AZ,Flagstaff,KFSX,34.574449°N 111.198367°W
AZ,Phoenix,KIWA,33.289111°N 111.6700092°W
AZ,Tucson,KEMX,31.8937186°N 110.6304306°W
AZ,Yuma,KYUX,32.4953477°N 114.6567214°W
UT,Cedar City,KICX,37.59083°N 112.86222°W
UT,Salt Lake City,KMTX,41.2627795°N 112.4480081°W
ID,Boise,KCBX,43.4902104°N 116.2360436°W
ID,Pocatello/Idaho Falls,KSFX,43.1055967°N 112.6860487°W
NV,Elko,KLRX,40.7396933°N 116.8025529°W
NV,Las Vegas,KESX,35.7012894°N 114.8918277°W
NV,Reno,KRGX,39.7541931°N 119.4620597°W
CA,Beale AFB,KBBX,39.4956958°N 121.6316557°W
CA,Edwards AFB,KEYX,35.0979358°N 117.5608832°W
CA,Eureka,KBHX,40.4986955°N 124.2918867°W
CA,Los Angeles,KVTX,34.4116386°N 119.1795641°W
CA,Sacramento,KDAX,38.5011529°N 121.6778487°W
CA,San Diego,KNKX,32.9189891°N 117.041814°W
CA,San Francisco,KMUX,37.155152°N 121.8984577°W
CA,San Joaquin Valley,KHNX,36.3142088°N 119.6320903°W
CA,Santa Ana Mountains,KSOX,33.8176452°N 117.6359743°W
CA,Vandenberg AFB,KVBG,34.8383137°N 120.3977805°W
HI,Kauai,PHKI,21.8938762°N 159.5524585°W
HI,Kohala,PHKM,20.1254606°N 155.778054°W
HI,Molokai,PHMO,21.1327531°N 157.1802807°W
HI,South Shore,PHWA,19.0950155°N 155.5688846°W
OR,Medford,KMAX,42.0810766°N 122.7173334°W
OR,Pendleton,KPDT,45.6906118°N 118.8529301°W
OR,Portland,KRTX,45.7150308°N 122.9650542°W
WA,Langley Hill,KLGX,47.116806°N 124.10625°W
WA,Seattle/Tacoma,KATX,48.1945614°N 122.4957508°W
WA,Spokane,KOTX,47.6803744°N 117.6267797°W
AK,Bethel,PABC,60.791987°N 161.876539°W
AK,Fairbanks/Pedro Dome,PAPD,65.0351238°N 147.5014222°W
AK,Kenai,PAHG,60.725833°N 151.351389°W
AK,King Salmon,PAKC,58.6794558°N 156.6293335°W
AK,Middleton Island,PAIH,59.46194°N 146.30111°W
AK,Nome,PAEC,64.5114973°N 165.2949071°W
AK,Sitka/Biorka Island,PACG,56.85214°N 135.552417°W
GU,Andersen AFB,PGUA,13.455965°N 144.8111022°E
NA,"Lajes Field, Azores",LPLA,38.73028°N 27.32167°W
SK,"Kunsan Air Base, South Korea",RKJK,35.92417°N 126.62222°E
SK,"Camp Humphreys, South Korea",RKSG,37.207652°N 127.285614°E
JP,"Kadena Air Base, Japan",RODN,26.307796°N 127.903422°E
